Type,Sigle,Désignation
FORMATION POLITIQUE,ARD,Alliance pour la République et la Démocratie
FORMATION POLITIQUE,UREFA,Union des Révolutionnaires pour le Faso
PARTI POLITIQUE,3P ,Parti des Patriotes Panafricanistes
PARTI POLITIQUE,A.D.F/R.D.A ,Alliance pour la Démocratie et la Fédération / Rassemblement Démocratique Africain
PARTI POLITIQUE,A.DE.FA ,Alliance pour la Démocratie du Faso
PARTI POLITIQUE,A.F.P ,Alliance des Forces Progressistes
PARTI POLITIQUE,A.J.I.R ,Alliance des Jeunes pour l’Indépendance et République
PARTI POLITIQUE,A.R.D.I ,Alliance pour la Renaissance, la Démocratie et l’Intégration
PARTI POLITIQUE,Burkina Yirwa ,Burkina Yirwa
PARTI POLITIQUE,C.D.P ,Congrès pour la Démocratie et le Progrès
PARTI POLITIQUE,C.N.C ,Conseil National pour le Changement
PARTI POLITIQUE,CADEauF ,Convention pour l’Alternance, la Démocratie et l’Egalité au Faso
PARTI POLITIQUE,CED ,Convergence pour l’Emergence et le Développement
PARTI POLITIQUE,CO.P.AC, Conseil du Peuple pour l’Action
PARTI POLITIQUE,CO.R.P ,Coalition pour la République-Parti Progressiste
PARTI POLITIQUE,CPR/MP ,Convergence Patriotique pour la Renaissance/Mouvement Progressiste
PARTI POLITIQUE,F.F.S. ,Front des Forces Sociales
PARTI POLITIQUE,FP ,Front Progressiste
PARTI POLITIQUE,L’Autre Burkina/P.S.R ,L’Autre Burkina / Parti pour le Socialisme et la Refondation
PARTI POLITIQUE,Le Faso Autrement ,Le Faso Autrement
PARTI POLITIQUE,M.A.C.EN.POL ,Mouvement d’Action Culturelle pour l’Ennoblissement de la Politique
PARTI POLITIQUE,M.A.P ,Mouvement Africain des Peuples
PARTI POLITIQUE,M.D.A ,Mouvement pour la Démocratie en Afrique
PARTI POLITIQUE,M.D.D ,Mouvement pour la Démocratie et le Développement
PARTI POLITIQUE,M.D.R ,Mouvement pour la Démocratie et la Renaissance
PARTI POLITIQUE,M.P.B ,Mouvement Patriotique du Burkina
PARTI POLITIQUE,M.P.C ,Mouvement pour le Progrès et le Changement
PARTI POLITIQUE,M.P.D ,Mouvement du Peuple pour la Démocratie
PARTI POLITIQUE,M.P.F ,Mouvement Panafricain du Faso
PARTI POLITIQUE,M.P.P ,Mouvement du Peuple pour le Progrès
PARTI POLITIQUE,MPR/B ,Mouvement Patriotique pour le Renouveau du Burkina
PARTI POLITIQUE,N.D.S ,Nouvelle Démocratie Sociale
PARTI POLITIQUE,N.I.D ,Nouvelle Initiative Démocratique
PARTI POLITIQUE,NAFA ,Nouvelle Alliance du Faso
PARTI POLITIQUE,NTD ,Nouveau Temps pour la Démocratie
PARTI POLITIQUE,O.D.T ,Organisation pour la Démocratie et le Travail
PARTI POLITIQUE,ODP ,Organisation pour la Démocratie et le Travail
PARTI POLITIQUE,P.C.D.P ,Parti Centriste pour la Démocratie et le Progrès
PARTI POLITIQUE,P.D.C ,Parti pour le Développement et le Changement
PARTI POLITIQUE,P.D.P/P.S ,Parti pour la Démocratie et le Progrès/Parti Socialiste
PARTI POLITIQUE,P.D.S/METBA ,Parti pour la Démocratie et le Socialisme/Parti des Bâtisseurs
PARTI POLITIQUE,P.E.D.N ,Parti Ecologiste pour un Développement Nouveau
PARTI POLITIQUE,P.F ,Parti Fasocrate
PARTI POLITIQUE,P.N.D.P ,Parti National pour le Développement et la Paix
PARTI POLITIQUE,P.N.D.S ,Parti National des Démocrates Sociaux
PARTI POLITIQUE,P.P.D ,Parti Patriotique pour le Développement
PARTI POLITIQUE,P.P.E/C.N,Parti pour la Protection de l’Environnement/Conservation de la Nature
PARTI POLITIQUE,P.P.L.B ,Parti pour le Progrès et la Liberté du Burkina
PARTI POLITIQUE,P.P.P ,Parti des Patriotes Progressistes
PARTI POLITIQUE,P.P.R.N ,Parti du Progrès pour le Renouveau National
PARTI POLITIQUE,P.R.D.F,Parti pour la Renaissance de la Démocratie au Faso
