No,Surname,Other Names,County Code,County Name,Party Code,Political Party Name,Abbrv
176,CHERUIYOT,GLADWELL JESIRE,30,BARINGO,33,KENYA AFRICAN NATIONAL UNION,KANU
177,KIMOSOP,SUSAN CHEPKURUI CHESIYNA,30,BARINGO,27,JUBILEE PARTY,JP
178,KIPTUI,GRACE JEMUTAI,30,BARINGO,IND,INDEPENDENT,IND
179,TORONO,NAOMI,30,BARINGO,54,CHAMA CHA MASHINANI,CCM
180,APOLLOS,JANE AGNES WANJIRA,31,LAIKIPIA,IND,INDEPENDENT,IND
181,KUIYUKIA,ESTHER WANJIRU,31,LAIKIPIA,67,MAENDELEO CHAP CHAP PARTY,MCCP
182,WANJAU,MARY NGIMA,31,LAIKIPIA,IND,INDEPENDENT,IND
183,WARUGURU,CATHERINE WANJIKU,31,LAIKIPIA,27,JUBILEE PARTY,JP
184,GITHINJI,AGNES NJAMBI,32,NAKURU,IND,INDEPENDENT,IND
185,KAMAU,JANET WANGUI,32,NAKURU,2,THE NATIONAL VISION PARTY,NVP
186,KARUGA,GRACE WANGUI,32,NAKURU,33,KENYA AFRICAN NATIONAL UNION,KANU
187,KIMANI,ZIPPORAH MUTHONI,32,NAKURU,IND,INDEPENDENT,IND
188,LIZA,CHELULE CHEPKORIR,32,NAKURU,27,JUBILEE PARTY,JP
189,MUDAVE,GLADYS JEMUGE KAMUREN,32,NAKURU,54,CHAMA CHA MASHINANI,CCM
190,MUIRURI,ASSUMPTA WANGUI,32,NAKURU,67,MAENDELEO CHAP CHAP PARTY,MCCP
191,RASHID,ASHA KURWA,32,NAKURU,21,ORANGE DEMOCRATIC MOVEMENT,ODM
192,SAKINA,SAIDI,32,NAKURU,34,SAFINA,SAFINA
193,BUSIENEI,AGNES CHEPKEMOI,33,NAROK,IND,INDEPENDENT,IND
194,EDNAH,CHEPKORIR,33,NAROK,IND,INDEPENDENT,IND
195,ISELE,JOSEPHINE,33,NAROK,67,MAENDELEO CHAP CHAP PARTY,MCCP
196,MASIKONTE,LYDIA NANEU,33,NAROK,54,CHAMA CHA MASHINANI,CCM
197,NKUMUM,NYAMALO,33,NAROK,33,KENYA AFRICAN NATIONAL UNION,KANU
198,SIRERE,SILANTOI MOSONI,33,NAROK,62,AMANI NATIONAL CONGRESS,ANC
199,TONKEI,REBECCA NOONAISHI,33,NAROK,21,ORANGE DEMOCRATIC MOVEMENT,ODM
200,TUYA,ROSELINDA SOIPAN,33,NAROK,27,JUBILEE PARTY,JP
201,MARWA,MARTHA KERUBO,34,KAJIADO,62,AMANI NATIONAL CONGRESS,ANC
202,MUCHEKE,JANE MUTHONI,34,KAJIADO,14,PARTY OF NATIONAL UNITY,PNU
203,MWANGI,FLORENCE WAMBUI,34,KAJIADO,33,KENYA AFRICAN NATIONAL UNION,KANU
204,RAKITA,JUSTINE SIMAYIAI,34,KAJIADO,12,WIPER DEMOCRATIC MOVEMENT- KENYA,WDM-K
205,SHURAKE,LUCY NANEU,34,KAJIADO,IND,INDEPENDENT,IND
206,SOMOIRE,ESTHER KARAPIO,34,KAJIADO,21,ORANGE DEMOCRATIC MOVEMENT,ODM
207,TEYIAA,JANET MARANIA,34,KAJIADO,27,JUBILEE PARTY,JP
208,KEMEI,BEATRICE CHEPNGENO,35,KERICHO,15,PARTY FOR DEVELOPMENT AND REFORM,PDR
209,KIRUI,EMILY CHEROTICH,35,KERICHO,54,CHAMA CHA MASHINANI,CCM
210,KOSKEY,FLORENCE CHEPNGETICH,35,KERICHO,27,JUBILEE PARTY,JP
211,VICKY,CHEPKORIR BATI,35,KERICHO,33,KENYA AFRICAN NATIONAL UNION,KANU
212,CHEPKEMOI,BEATRICE,36,BOMET,54,CHAMA CHA MASHINANI,CCM
213,CHEPKOECH,JOYCE KORIR,36,BOMET,27,JUBILEE PARTY,JP
214,SIELEY,LILA CHEPKEMOI,36,BOMET,33,KENYA AFRICAN NATIONAL UNION,KANU
215,LUSENO,MERCY SHITSUGANE,37,KAKAMEGA,27,JUBILEE PARTY,JP
216,MUHANDA,ELSIE BUSIHILE,37,KAKAMEGA,21,ORANGE DEMOCRATIC MOVEMENT,ODM
217,NYANGALA,LYDIA PAMELLA,37,KAKAMEGA,62,AMANI NATIONAL CONGRESS,ANC
218,SHABAN,FATUMA OSUNDWA,37,KAKAMEGA,23,FORUM FOR RESTORATION OF DEMOCRACY-KENYA,FORD- KENYA
219,MUDEHELI,NANCY LUNGAHI,37,KAKAMEGA,49,FEDERAL PARTY OF KENYA,FPK
220,WANYONYI,IRENE MUYOKA,37,KAKAMEGA,1,NATIONAL RAINBOW COALITION- KENYA,NARC- KENYA
221,ADAGALA,BEATRICE KAHAI,38,VIHIGA,62,AMANI NATIONAL CONGRESS,ANC
222,AMBANI,MERCY WAMBUI,38,VIHIGA,61,CITIZENS CONVENTION PARTY,CCP
223,Ambuchi,Lucy Kamira,38,VIHIGA,33,KENYA AFRICAN NATIONAL UNION,KANU
224,AMIMO,RHODAH MBANDU,38,VIHIGA,21,ORANGE DEMOCRATIC MOVEMENT,ODM
225,KIRAMBI,ALICE MUHONJA,38,VIHIGA,27,JUBILEE PARTY,JP
226,LUGARIKI,MERCY ADEMA,38,VIHIGA,IND,INDEPENDENT,IND
227,MBUNI',MARGARET MUNALITSI,38,VIHIGA,2,THE NATIONAL VISION PARTY,NVP
228,MINAYO,EVERLYNE,38,VIHIGA,64,UNITED DEMOCRATIC PARTY,UDP
229,MING'ALA,SYLVIA LEAH,38,VIHIGA,3,THE LABOUR PARTY OF KENYA,LPK
230,NELIMA,MARY AMALEMBA,38,VIHIGA,IND,INDEPENDENT,IND
231,OBIRI,LORNAH,38,VIHIGA,25,PROGRESSIVE PARTY OF KENYA,PPOK
232,OJUANG,MARY ADHIAMBO,38,VIHIGA,58,REPUBLICAN LIBERTY PARTY,RLP
233,OLISA,MILLICENT CLEARE,38,VIHIGA,5,CHAMA MWANGAZA DAIMA,CMD
234,MAINDI,HELLEN NANGEKHE,39,BUNGOMA,67,MAENDELEO CHAP CHAP PARTY,MCCP
235,MASIBO,ANNAH NANDAKO,39,BUNGOMA,IND,INDEPENDENT,IND
235,NYONGESA,JACKLYNE NEKESA,39,BUNGOMA,3,THE LABOUR PARTY OF KENYA,LPK
237,NYONGESA,SWEEN KHAYANGA NANJALA,39,BUNGOMA,21,ORANGE DEMOCRATIC MOVEMENT,ODM
