No,Surname,Other Names,Running Mate Surname,Running Mate Other Names,County Code,County Name,Party Code,Political Party Name,Abbrv,
1,BOLLO,HEZRON AWITI,MWAMTOA,HASSAN BAKARI,1,MOMBASA,60,VIBRANT DEMOCRATIC PARTY,VDP,HEZRON AWITI BOLLO
2,HASSAN,HASSAN OMAR,SHUMA,LINDA MARIWA,1,MOMBASA,12,WIPER DEMOCRATIC MOVEMENT- KENYA,WDM-K,HASSAN OMAR HASSAN
3,JOHO,HASSAN ALI,KINGI,WILLIAM KAZUNGU,1,MOMBASA,21,ORANGE DEMOCRATIC MOVEMENT,ODM,HASSAN ALI JOHO
4,KITSAO,DANIEL MUNGA,MWAKAMA,SAID BAKARI,1,MOMBASA,30,KENYA AFRICAN DEMOCRATIC UNION-ASILI,KADU-ASILI,DANIEL MUNGA KITSAO
5,SHAHBAL,SULEIMAN SAID SALEH,MWABOZA,ANANIA MWASAMBU,1,MOMBASA,27,JUBILEE PARTY,JP,SULEIMAN SAID SALEH SHAHBAL
6,DENA,JAMES DANIEL GEREZA,MULINGE,JAMES NZOMO,2,KWALE,IND,INDEPENDENT,IND,JAMES DANIEL GEREZA DENA
7,KIPERAH,ISSAH ATHUMAN,MKALLA,SIMEON MWERO,2,KWALE,21,ORANGE DEMOCRATIC MOVEMENT,ODM,ISSAH ATHUMAN KIPERAH
8,MGALA,SALIM MVURYA,ACHANI,FATUMA MOHAMED,2,KWALE,27,JUBILEE PARTY,JP,SALIM MVURYA MGALA
9,MWAKWERE,CHIRAU ALI,CHIGODI,MWANDOGO OMARI,2,KWALE,12,WIPER DEMOCRATIC MOVEMENT- KENYA,WDM-K,CHIRAU ALI MWAKWERE
10,RUWA,SAMMY NYAMAWI,MALILA,MUTUKU ISAAC,2,KWALE,IND,INDEPENDENT,IND,SAMMY NYAMAWI RUWA
11,KAMBI,SAMWEL KAZUNGU,MWANGOVYA,MAURINE MUNYAZI,3,KILIFI,30,KENYA AFRICAN DEMOCRATIC UNION-ASILI,KADU-ASILI,SAMWEL KAZUNGU KAMBI
12,KINGI,AMASON JEFFAH,SABURI,GIDEON EDMUND,3,KILIFI,21,ORANGE DEMOCRATIC MOVEMENT,ODM,AMASON JEFFAH KINGI
13,MANGI,KAHINDI JAMES,LUGANJE,ESTHER BAHATI,3,KILIFI,IND,INDEPENDENT,IND,KAHINDI JAMES MANGI
14,MUMBA,BENJAMIN DADU,MBURA,JOSEPH CHILUMO,3,KILIFI,62,AMANI NATIONAL CONGRESS,ANC,BENJAMIN DADU MUMBA
15,MUNGARO,MAITHA GIDEON,KAMTO,KENNETH MWAKOMBO,3,KILIFI,27,JUBILEE PARTY,JP,MAITHA GIDEON MUNGARO
16,ABDI,NUH NASSIR,IJEMA,RASHID OMAR,4,TANA RIVER,12,WIPER DEMOCRATIC MOVEMENT- KENYA,WDM-K,NUH NASSIR ABDI
17,ALGI,ISMAEL JILLO,NUNOW,ISSACK HUSSEIN,4,TANA RIVER,15,PARTY FOR DEVELOPMENT AND REFORM,PDR,ISMAEL JILLO ALGI
18,DADO,TUNEYA HUSSEIN,MOHAMED,JIRE SIYAT,4,TANA RIVER,27,JUBILEE PARTY,JP,TUNEYA HUSSEIN DADO
19,GODHANA,DHADHO GADDAE,SALIM,KEA BATUYU,4,TANA RIVER,21,ORANGE DEMOCRATIC MOVEMENT,ODM,DHADHO GADDAE GODHANA
20,MUNGATANA,DANSON BUYA,KUNO,HASSAN BARHE,4,TANA RIVER,31,KENYA PATRIOTS PARTY,KPP,DANSON BUYA MUNGATANA
21,ABDALLA,ABDALLA MOHAMED,MOHAMED,MWENYEALY MWENYE,5,LAMU,21,ORANGE DEMOCRATIC MOVEMENT,ODM,
22,KINUTHIA,ELIUD NDUNGU,MWANGI,JAMES KIBE,5,LAMU,14,PARTY OF NATIONAL UNITY,PNU,
23,SWALEH,SWALEH SALIM,JENEBY,MARYAM MUHAMMED,5,LAMU,12,WIPER DEMOCRATIC MOVEMENT- KENYA,WDM-K,
24,TIMAMY,ISSA ABDALLA,MUGO,ERIC KINYUA,5,LAMU,62,AMANI NATIONAL CONGRESS,ANC,
25,TWAHA,FAHIM YASIN,ABDULHAKIM,ABOUD BWANA,5,LAMU,27,JUBILEE PARTY,JP,
26,KATANI,ERASTUS MWANJAMA,NZIOKA,BENEDICT MUTUA,6,TAITA TAVETA,IND,INDEPENDENT,IND,
27,KISOMBE,EMMANUEL MWATIBO,SHINGA,RICHARD MWANGEKA,6,TAITA TAVETA,IND,INDEPENDENT,IND,
28,MRUTTU,JOHN MTUTA,KIBUKA,MARY NDIGA,6,TAITA TAVETA,IND,INDEPENDENT,IND,
29,MWADEGHU,THOMAS LUDINDI,LOLIANG'A,TAIRO,6,TAITA TAVETA,21,ORANGE DEMOCRATIC MOVEMENT,ODM,
30,MWADIME,CONSTANTINE MAGHANGA,MSAWUGHI,DALMAS SIMBA,6,TAITA TAVETA,67,MAENDELEO CHAP CHAP PARTY,MCCP,
31,MWAKULEGWA,DANSON MWAZO,MRUTU,STANLEY MASAMO,6,TAITA TAVETA,27,JUBILEE PARTY,JP,
32,MWATELA,JACINTA WANJALA,MWANGOMA,ALFRED,6,TAITA TAVETA,62,AMANI NATIONAL CONGRESS,ANC,
33,SAMBOJA,GRANTON GRAHAM,MLAGUI,MAJALA DELINA,6,TAITA TAVETA,12,WIPER DEMOCRATIC MOVEMENT- KENYA,WDM-K,
34,ADAN,NATHIF JAMA,ALI,ABDULLAHI HUSSEIN,7,GARISSA,12,WIPER DEMOCRATIC MOVEMENT- KENYA,WDM-K,
35,HAJI,BASHIR YUSSUF,AHMED,HASSAN MAALIM ABDULAHI,7,GARISSA,62,AMANI NATIONAL CONGRESS,ANC,
36,HIRE,AHMED ADEN,ABDI,ABDINASIR MOHAMED,7,GARISSA,67,MAENDELEO CHAP CHAP PARTY,MCCP,
37,KORANE,ALI BUNOW,MUHUMED,ABDI DAGANE,7,GARISSA,27,JUBILEE PARTY,JP,
38,ABDI,AHMED MUHUMED,YAROW,ABDIHAFID ABDULLAHI,8,WAJIR,15,PARTY FOR DEVELOPMENT AND REFORM,PDR,
39,WARFA,SIRAT OSMAN,JIMALE,SALEH SAID,8,WAJIR,55,ALLIANCE FOR REAL CHANGE,ARK,
40,KHALIF,HASHIM ABDISIRAD,MAALIM,IBRAHIM ABDULLAHI,8,WAJIR,13,DEMOCRATIC PARTY OF KENYA,DP,
41,MAHAMUD,MOHAMED ABDI,MUKTAR,AHMED ALI,8,WAJIR,27,JUBILEE PARTY,JP,
42,MOHAMAD,AHMED ABDULLAHI,NUNOW,AHMED ABDIKADIR,8,WAJIR,21,ORANGE DEMOCRATIC MOVEMENT,ODM,
43,SHEIKH,SALAH ABDI,ABDI,SIYAD ORE,8,WAJIR,76,THIRDWAY ALLIANCE KENYA,TAK,
44,NOOR,HASSAN HASSAN,ABASS,MAALIM HAJIR,9,MANDERA,48,ECONOMIC FREEDOM PARTY,EFP,
45,ROBA,ALI IBRAHIM,ARAI,MOHAMED AHMED,9,MANDERA,27,JUBILEE PARTY,JP,
46,ADANO,UMURO SORA,ALI,ABDUB GUYO,10,MARSABIT,33,KENYA AFRICAN NATIONAL UNION,KANU,
47,ALI,MOHAMUD MOHAMED,RIWE,SOLOMON GUBO,10,MARSABIT,27,JUBILEE PARTY,JP,
48,KANACHO,UKUR YATANI,SARBO,HASSAN MARSA,10,MARSABIT,46,FRONTIER ALLIANCE PARTY,FAP,
49,WARIO,IBRAHIM DAMBI,PHILIP,JOSEPH DIBA,10,MARSABIT,21,ORANGE DEMOCRATIC MOVEMENT,ODM,
50,ABDILLE,MOHAMED GULLEID,LESENGEI,PATRICK KARUME,11,ISIOLO,54,CHAMA CHA MASHINANI,CCM,
51,ADHI,GODANA DOYO,PUNUKA,BARNABAS ESUNYEN,11,ISIOLO,15,PARTY FOR DEVELOPMENT AND REFORM,PDR,
52,AHMED,ANWAR,M'TONGONDU,NICHOLAS MUGAMBI,11,ISIOLO,67,MAENDELEO CHAP CHAP PARTY,MCCP,
53,ALI,ABDUL BAHARI,BOMIZIANO,LAIKURU MAINGI,11,ISIOLO,27,JUBILEE PARTY,JP,
54,KABELO,ADAN WARIO,EKWAM,PAUL EDONGA,11,ISIOLO,21,ORANGE DEMOCRATIC MOVEMENT,ODM,
55,KUTI,MOHAMED ABDI,ISSA,ABDI IBRAHIM,11,ISIOLO,IND,INDEPENDENT,IND,
56,MACHUGUMA,KIMAITA JOHN,ABDULLAHI,ABDI OSMAN,11,ISIOLO,13,DEMOCRATIC PARTY OF KENYA,DP,
