No,Surname,Other Names,County Code,County Name,Party Code,Political Party Name,Abbrv
1,BAJABER,YASSER ALI SHEIKH,1,MOMBASA,23,FORUM FOR RESTORATION OF DEMOCRACY-KENYA,FORD-KENYA
2,CHOME,ONESMAS HABEL,1,MOMBASA,42,SHIRIKISHO PARTY OF KENYA,SPK
3,FONDO,FLORENCE WAWUDA,1,MOMBASA,60,VIBRANT DEMOCRATIC PARTY,VDP
4,KATANA,HAZEL NYAMOKI,1,MOMBASA,27,JUBILEE PARTY,JP
5,KISILU,LAWRENCE KIMEU,1,MOMBASA,12,WIPER DEMOCRATIC MOVEMENT- KENYA,WDM-K
6,MOHAMMED,MOHAMED ABBAS,1,MOMBASA,IND,INDEPENDENT,IND
7,MWAGUYA,HAMISI MASHOBO,1,MOMBASA,IND,INDEPENDENT,IND
8,MWINYIHAJI,MOHAMED FAKI,1,MOMBASA,21,ORANGE DEMOCRATIC MOVEMENT,ODM
9,ODUOR,JABESS MDHAI,1,MOMBASA,IND,INDEPENDENT,IND
10,YAA,STEPHEN MURE,1,MOMBASA,67,MAENDELEO CHAP CHAP PARTY,MCCP
11,BOY,ISSA JUMA,2,KWALE,21,ORANGE DEMOCRATIC MOVEMENT,ODM
12,BULUSHI,IBRAHIM MOHAMED HAJI,2,KWALE,23,FORUM FOR RESTORATION OF DEMOCRACY-KENYA,FORD-KENYA
13,HASSAN,NURU LULA,2,KWALE,73,ALTERNATIVE LEADERSHIP PARTY OF KENYA,ALPK
14,MATANO,STANLEY MWENDAR,2,KWALE,12,WIPER DEMOCRATIC MOVEMENT- KENYA,WDM-K
15,MUIA,ANTONY MULINGE,2,KWALE,75,EMPOWERMENT AND LIBERATION PARTY,ELP
16,MUTHOKA,JAPHETH NZESYA,2,KWALE,67,MAENDELEO CHAP CHAP PARTY,MCCP
17,MWERO,KOMBO,2,KWALE,30,KENYA AFRICAN DEMOCRATIC UNION-ASILI,KADU-ASILI
18,MZINGA,HASSAN RASHID,2,KWALE,33,KENYA AFRICAN NATIONAL UNION,KANU
19,NGOZI,ABDALLAH JUMAA,2,KWALE,13,DEMOCRATIC PARTY OF KENYA,DP
20,RUGA,MSHENGA VUYAA,2,KWALE,27,JUBILEE PARTY,JP
21,WAZIRI,OMARI MWAWAKA,2,KWALE,5,CHAMA MWANGAZA DAIMA,CMD
22,CHIGIRI,CHARLES DUNGA,3,KILIFI,12,WIPER DEMOCRATIC MOVEMENT- KENYA,WDM-K
23,MADZAYO,STEWART MWACHIRU SHADRACK,3,KILIFI,21,ORANGE DEMOCRATIC MOVEMENT,ODM
24,MWENI,LUCAS BAYA MAITHA,3,KILIFI,30,KENYA AFRICAN DEMOCRATIC UNION-ASILI,KADU-ASILI
25,NDURYAH,EMMANUEL KADENGE,3,KILIFI,64,UNITED DEMOCRATIC PARTY,UDP
26,NYALE,KENNEDY JAMES,3,KILIFI,27,JUBILEE PARTY,JP
