No,Surname,Other Names,County Code,County Name,Constituency Code,Constituency Name,Party Code,Political Party Name,Abbrv
1,DAIB,ABDI MOHAMMED,1,MOMBASA,1,CHANGAMWE,27,JUBILEE PARTY,JP
2,MITTAU,PETERSON,1,MOMBASA,1,CHANGAMWE,IND,INDEPENDENT,IND
3,MPAPALE,GODFREY IMBALI,1,MOMBASA,1,CHANGAMWE,23,FORUM FOR RESTORATION OF DEMOCRACY-KENYA,FORD-KENYA
4,MUANGE,DANIEL MUNYAO,1,MOMBASA,1,CHANGAMWE,12,WIPER DEMOCRATIC MOVEMENT- KENYA,WDM-K
5,NGUGI,PATRICK K,1,MOMBASA,1,CHANGAMWE,60,VIBRANT DEMOCRATIC PARTY,VDP
6,SHIMBWA,OMAR MWINYI,1,MOMBASA,1,CHANGAMWE,21,ORANGE DEMOCRATIC MOVEMENT,ODM
7,ALOO,DAN ALUORA,1,MOMBASA,2,JOMVU,IND,INDEPENDENT,IND
8,BADY,BADY TWALIB,1,MOMBASA,2,JOMVU,21,ORANGE DEMOCRATIC MOVEMENT,ODM
9,CHANDE,SAIDI ABDALLA SAIDI,1,MOMBASA,2,JOMVU,62,AMANI NATIONAL CONGRESS,ANC
10,HEZRON,SHIPETA MATHIAS,1,MOMBASA,2,JOMVU,12,WIPER DEMOCRATIC MOVEMENT- KENYA,WDM-K
11,ISHMAEL,JOSEPH MUTIE,1,MOMBASA,2,JOMVU,17,AGANO PARTY,AGANO
12,KAJEMBE,MWIDANI RAMADHAN,1,MOMBASA,2,JOMVU,IND,INDEPENDENT,IND
13,MUNYIKA,KARISA NZAI,1,MOMBASA,2,JOMVU,27,JUBILEE PARTY,JP
14,MWETHA,LEONARD NZIOKI,1,MOMBASA,2,JOMVU,10,MAZINGIRA GREENS PARTY OF KENYA,MGPK
15,OJUKWU,ZACHARIA EZRA,1,MOMBASA,2,JOMVU,IND,INDEPENDENT,IND
16,WASHENGA,IBRAHIM HUSSEIN,1,MOMBASA,2,JOMVU,46,FRONTIER ALLIANCE PARTY,FAP
17,WEPUKHULU,JONATHAN KUTOSI,1,MOMBASA,2,JOMVU,23,FORUM FOR RESTORATION OF DEMOCRACY-KENYA,FORD-KENYA
